"name","isolated","initial","medial","final","region_code","sound_path"
"alef","ا","آ","ـا","ـا","IR","https://upload.wikimedia.org/wikipedia/commons/1/12/Fa-%D8%A7.ogg"
"beh","ب","ﺑ","ـبـ","ـب","IR","https://upload.wikimedia.org/wikipedia/commons/d/d9/Fa-%D8%A8.ogg"
"peh","پ","ﭘ","ـپـ","ـپ","IR",
"teh","ت","ﺗ","ـتـ","ـت","IR",
"seh","ث","ﺛ","ـثـ","ـث","IR",
"jeem","ج","ﺟ","ـجـ","ﺞ","IR",
"cheh","چ","ﭼ","ـچـ","ﭻ","IR",
"heh","ح","ﺣ","ـحـ","ﺢ","IR",
"kheh","خ","ﺧ","ـخـ","ﺦ","IR",
"dal","د","د","ـد","ـد","IR",
"zal","ذ","ذ","ـذ","ـذ","IR",
"re","ﺭ","ﺭ","ـر","ـر","IR",
"zhe","ژ","ژ","ـژ","ـژ","IR",
"seen","س","ﺳ","ـسـ","ـس","IR",
"sheen","ش","ﺷ","ـشـ","ـش","IR",
"saad","ص","ﺻ","ـصـ","ـص","IR",
"zaad","ض","ﺿ","ـضـ","ـض","IR",
"taa","ط","ﻃ","ـطـ","ـط","IR",
"zaa","ظ","ﻇ","ـظـ","ـظ","IR",
"ain","ع","ﻋ","ـعـ","ـع","IR",
"ghain","غ","ﻏ","ـغـ","ـغ","IR",
"feh","ف","ﻓ","ـفـ","ـف","IR",
"qaaf","ق","ﻗ","ـقـ","ـق","IR",
"kaaf","ک","کـ","ـکـ","ـک","IR",
"gaaf","گ","ﮔ","ـگـ","ـگ","IR",
"laam","ل","ﻟ","ـلـ","ـل","IR",
"meem","م","ﻣ","ـمـ","ـم","IR",
"nun","ن","ﻧ","ـنـ","ـن","IR",
"heh","ه","هـ","ـهـ","ـه","IR",
"vaav","و","و","ـو","ـو","IR",
"ye","ی","ﻳ","ـیـ","ﯽ","IR",
